signal_no,time,session,symbol,direction,price,vwap,atr,vwap_ext_x,vol_ratio,rsi,is_vwap_stock,filter_result,outcome,actual_pnl,surgical_pnl
1,11:03,AM,TITAN,LONG,4267.50,4257.89,5.91,1.63,2.8,63.0,Y,BLOCKED,SL,-343,0
2,11:18,AM,TITAN,LONG,4271.20,4258.81,5.55,2.23,2.4,64.3,Y,BLOCKED,SL,-322,0
3,11:18,AM,ADANIPORTS,LONG,1554.20,1550.56,4.04,0.90,2.5,60.6,N,KEPT,SL,-497,-497
4,11:24,AM,HDFCLIFE,LONG,742.75,741.56,1.19,1.00,1.6,50.5,Y,KEPT,SL,-400,-400
5,11:39,AM,TITAN,LONG,4270.60,4260.23,5.49,1.89,1.0,56.6,Y,BLOCKED,SL,-319,0
6,14:00,PM,ONGC,LONG,273.80,273.41,0.41,0.95,1.3,67.4,N,KEPT,SL,-378,-378
7,14:09,PM,HINDALCO,SHORT,909.10,923.61,1.85,7.84,2.2,32.6,N,KEPT,SL,-499,-499
8,14:15,PM,SBILIFE,LONG,2114.80,2112.26,3.53,0.72,3.4,61.4,N,KEPT,STAG,-271,-271
9,14:18,PM,ONGC,LONG,273.85,273.42,0.45,0.96,2.4,61.2,N,KEPT,TP,611,611
10,14:27,PM,HDFCLIFE,LONG,743.15,742.38,0.91,0.85,1.5,60.6,Y,KEPT,SL,-304,-304
11,14:36,PM,TATASTEEL,LONG,207.86,207.74,0.30,0.40,1.4,60.3,N,KEPT,SL,-355,-355
12,14:39,PM,ONGC,LONG,274.15,273.47,0.47,1.45,1.1,58.9,N,KEPT,SL,-432,-432
13,14:39,PM,SBILIFE,LONG,2112.50,2112.45,3.62,0.01,2.3,48.3,N,KEPT,SL,-427,-427
14,14:45,PM,ADANIPORTS,LONG,1551.80,1549.80,2.77,0.72,2.5,65.8,N,KEPT,TP,668,668
15,14:57,PM,ONGC,LONG,274.95,273.54,0.59,2.39,1.6,65.7,N,KEPT,OPEN,0,0
,,,TOTAL,,,,,,,,,,,-3268,-2284
